Nom,Age,PoidBagage
Passager1,88,19
Passager2,58,17
Passager3,23,18
Passager4,10,13
Passager5,51,16
Passager6,66,25
Passager7,74,10
Passager8,60,18
Passager9,28,11
Passager10,21,25
Passager11,65,16
Passager12,48,27
Passager13,89,29
Passager14,7,27
Passager15,11,23
Passager16,59,24
Passager17,87,14
Passager18,74,28
Passager19,43,27
Passager20,76,10
Passager21,96,20
Passager22,29,18
Passager23,73,27
Passager24,55,25
Passager25,44,21
Passager26,11,16
Passager27,11,20
Passager28,4,21
Passager29,32,13
Passager30,67,29
Passager31,48,12
Passager32,33,14
Passager33,47,21
Passager34,14,23
Passager35,45,10
Passager36,5,18
Passager37,16,24
Passager38,52,27
Passager39,17,10
Passager40,0,27
Passager41,54,11
Passager42,91,19
Passager43,94,24
Passager44,89,17
Passager45,29,27
Passager46,28,10
Passager47,64,26
Passager48,33,17
Passager49,78,11
Passager50,10,22
Passager51,59,12
Passager52,45,15
Passager53,61,18
Passager54,3,21
Passager55,70,20
Passager56,1,27
Passager57,13,24
Passager58,34,11
Passager59,81,20
Passager60,7,16
Passager61,26,13
Passager62,45,23
Passager63,71,22
Passager64,82,18
Passager65,3,21
Passager66,61,29
Passager67,36,19
Passager68,64,11
Passager69,86,19
Passager70,26,25
Passager71,14,14
Passager72,33,11
Passager73,24,24
Passager74,64,21
Passager75,88,28
Passager76,24,23
Passager77,79,10
Passager78,13,27
Passager79,75,21
Passager80,1,26
Passager81,98,20
Passager82,36,12
Passager83,54,29
Passager84,37,28
Passager85,47,22
Passager86,43,18
Passager87,74,29
Passager88,22,23
Passager89,18,27
Passager90,67,20
Passager91,16,26
Passager92,45,20
Passager93,66,11
Passager94,88,14
Passager95,69,16
Passager96,83,22
Passager97,8,19
Passager98,72,13
Passager99,31,10
Passager100,50,14
Passager101,95,10
Passager102,87,16
Passager103,73,18
Passager104,6,15
Passager105,6,22
Passager106,81,29
Passager107,68,10
Passager108,49,24
Passager109,13,18
Passager110,16,13
Passager111,1,12
Passager112,87,18
Passager113,68,25
Passager114,20,18
Passager115,11,10
Passager116,67,28
Passager117,48,20
Passager118,60,27
Passager119,55,17
Passager120,88,24
Passager121,94,12
Passager122,4,28
Passager123,2,27
Passager124,44,13
Passager125,99,14
Passager126,41,23
Passager127,99,29
Passager128,3,15
Passager129,32,13
Passager130,8,16
Passager131,4,27
Passager132,12,28
Passager133,20,13
Passager134,72,12
Passager135,70,28
Passager136,78,13
Passager137,49,21
Passager138,90,17
Passager139,83,29
Passager140,70,27
Passager141,47,29
Passager142,0,18
Passager143,65,24
Passager144,79,11
Passager145,67,23
Passager146,8,12
Passager147,41,16
Passager148,59,23
Passager149,23,22
Passager150,39,29
Passager151,57,14
Passager152,72,20
Passager153,23,10
Passager154,83,15
Passager155,52,23
Passager156,59,19
Passager157,43,25
Passager158,44,16
Passager159,99,10
Passager160,96,17
Passager161,57,19
Passager162,5,22
Passager163,14,23
Passager164,2,27
Passager165,3,24
Passager166,22,12
Passager167,41,15
Passager168,3,23
Passager169,45,23
Passager170,35,28
Passager171,56,28
Passager172,77,26
Passager173,99,28
Passager174,19,22
Passager175,42,16
Passager176,32,13
Passager177,90,24
Passager178,42,22
Passager179,27,23
Passager180,42,21
Passager181,83,27
Passager182,59,18
Passager183,3,20
Passager184,4,12
Passager185,93,27
Passager186,48,10
Passager187,31,17
Passager188,75,27
Passager189,6,26
Passager190,14,22
Passager191,94,16
Passager192,71,28
Passager193,24,11
Passager194,57,11
Passager195,8,10
Passager196,58,14
Passager197,15,29
Passager198,54,24
Passager199,26,18
Passager200,79,18
